Unique ID,Geo Type Name
176609,UHF42
176598,UHF42
212421,UHF42
176524,UHF42
176629,UHF42
176545,UHF42
176546,UHF42
212453,UHF42
336794,CD
667664,CD
518925,UHF42
628473,UHF42
131438,UHF42
131456,Borough
130823,UHF42
518904,UHF42
410824,UHF42
823239,UHF42
174271,UHF34
547573,UHF34
825710,UHF42
169299,CD
170420,CD
169329,CD
169535,CD
605954,CD
823178,CD
605960,CD
169506,CD
169565,CD
606050,CD
823551,CD
170450,CD
334335,CD
176538,UHF42
176622,UHF42
667832,CD
167618,CD
643706,CD
334341,CD
168520,CD
170408,CD
170410,CD
334251,CD
742491,CD
336872,CD
667820,CD
176024,UHF42
176066,UHF42
602771,UHF42
412432,UHF42
825794,UHF42
176013,UHF42
602801,UHF42
168540,CD
169307,CD
605978,CD
823485,CD
169460,CD
823212,CD
334269,CD
336549,UHF42
175971,UHF42
412452,UHF42
175982,UHF42
175940,UHF42
175922,UHF42
175986,UHF42
412497,UHF42
176028,UHF42
602759,UHF42
212424,UHF42
176612,UHF42
212439,UHF42
336559,UHF42
628460,UHF42
131434,UHF42
131419,UHF42
212692,UHF42
643595,CD
667610,CD
643683,CD
336802,CD
667681,CD
166669,CD
165883,CD
741204,CD
741033,UHF34
171642,UHF34
549902,UHF34
172716,UHF34
171647,UHF34
172089,UHF34
176543,UHF42
643422,UHF42
212314,UHF42
825996,UHF42
602809,UHF42
826042,CD
166846,CD
166905,CD
603011,CD
741203,CD
412702,CD
602975,CD
166668,CD
741168,CD
550127,CD
165859,CD
167747,CD
549998,CD
742157,Borough
742323,UHF34
334347,CD
742557,CD
411130,CD
667844,CD
336885,CD
741054,UHF34
741093,UHF34
412822,CD
741287,CD
412821,CD
412820,CD
741286,CD
211363,Borough
643711,CD
411129,CD
411128,CD
412421,Borough
179441,Borough
742158,Borough
334345,CD
669970,CD
816717,CD
742156,Borough
179581,Borough
179576,Borough
410730,Borough
412422,Borough
740887,Borough
825802,Borough
179281,Borough
547363,Borough
549755,Borough
179431,Borough
179656,Borough
166787,CD
166728,CD
412739,CD
412700,CD
412736,CD
741202,CD
602722,UHF42
643393,UHF42
825720,UHF42
175283,UHF42
212324,UHF42
602806,UHF42
643420,UHF42
166685,CD
550123,CD
165843,CD
165961,CD
667683,CD
175274,UHF42
211361,Borough
825807,Borough
212296,UHF42
643336,UHF42
175262,UHF42
602743,UHF42
643357,UHF42
165942,CD
602976,CD
628509,UHF42
518961,UHF42
131376,UHF42
131369,UHF42
177941,UHF42
669772,UHF42
412456,UHF42
602729,UHF42
740921,UHF42
740906,UHF42
549821,UHF42
175881,UHF42
178505,UHF42
178421,UHF42
334018,UHF42
178513,UHF42
169308,CD
169544,CD
823488,CD
169520,CD
169461,CD
823209,CD
605981,CD
411115,CD
170405,CD
547615,CD
175985,UHF42
175993,UHF42
412493,UHF42
412518,UHF42
740920,UHF42
175925,UHF42
412488,UHF42
740953,UHF42
175983,UHF42
602708,UHF42
643707,CD
213452,CD
667831,CD
213420,CD
643611,CD
213450,CD
336871,CD
667819,CD
643701,CD
741282,CD
336789,CD
167795,CD
336873,CD
549965,UHF34
741099,UHF34
549926,UHF34
741060,UHF34
825708,UHF42
603089,CD
166910,CD
826021,CD
336879,CD
550016,CD
826374,CD
166792,CD
412809,CD
412814,CD
667653,CD
213627,CD
550149,CD
667833,CD
827393,UHF42
628499,UHF42
628481,Borough
628491,UHF42
628498,UHF42
518949,UHF42
603067,CD
643630,CD
826044,CD
412466,UHF42
412467,UHF42
518816,UHF42
131520,UHF42
518817,UHF42
628568,UHF42
649768,UHF42
410840,UHF42
410841,UHF42
410811,UHF42
742237,UHF42
130410,UHF42
177248,UHF42
334029,UHF42
605900,CD
742400,CD
605939,CD
628528,Borough
518798,UHF42
628546,UHF42
179354,Borough
179349,Borough
412415,Borough
412416,Borough
740932,UHF42
740911,UHF42
643594,CD
165765,CD
603013,CD
179439,Borough
175346,UHF42
740934,UHF42
549800,UHF42
643391,UHF42
412738,CD
603068,CD
166803,CD
667208,UHF42
412019,UHF42
411990,Borough
222481,UHF42
412008,UHF42
222439,UHF42
219966,Borough
412028,UHF42
826357,CD
826043,CD
167731,CD
742239,UHF42
547444,UHF42
179504,Borough
179569,Borough
179664,Borough
547357,Borough
334264,CD
649977,CD
649736,UHF42
649706,UHF42
177866,UHF42
177824,UHF42
151637,UHF42
151647,UHF42
816762,CD
154605,CD
154586,CD
154562,CD
151629,UHF42
410775,UHF42
669889,CD
179573,Borough
179579,Borough
179434,Borough
176641,UHF42
176648,UHF42
179433,Borough
825811,Borough
667201,UHF42
211376,Borough
667033,Borough
175885,UHF42
336477,Borough
336480,Borough
740883,Borough
742180,UHF42
742201,UHF42
130441,Borough
179790,UHF42
179811,Borough
179803,UHF42
518924,UHF42
168537,CD
169304,CD
170425,CD
547675,CD
547726,CD
605710,UHF42
605776,UHF42
212684,UHF42
649711,UHF42
823276,UHF42
605680,UHF42
336758,CD
667592,CD
643586,CD
336757,CD
336793,CD
667663,CD
213413,CD
336724,CD
667777,CD
167522,CD
167640,CD
643590,CD
336759,CD
336795,CD
167758,CD
172733,UHF34
741027,UHF34
171630,UHF34
131430,UHF42
827467,UHF42
130810,UHF42
334197,CD
212691,UHF42
605734,UHF42
649732,UHF42
177158,UHF42
213428,CD
643635,CD
643563,CD
336807,CD
549917,UHF34
741090,UHF34
643344,UHF42
176532,UHF42
176616,UHF42
643389,UHF42
212313,UHF42
602773,UHF42
175250,UHF42
603017,CD
826045,CD
550040,CD
741174,CD
741208,CD
643342,UHF42
175272,UHF42
643387,UHF42
741172,CD
550075,CD
213597,CD
602994,CD
667821,CD
827398,UHF42
826029,CD
213273,CD
643705,CD
602995,CD
826023,CD
823237,UHF42
169358,CD
177882,UHF42
169523,CD
169464,CD
605918,CD
605924,CD
823194,CD
411034,CD
742490,CD
826376,CD
213231,CD
643573,CD
176580,UHF42
412816,CD
602957,CD
602963,CD
825820,CD
412726,CD
336877,CD
167736,CD
176615,UHF42
336580,UHF42
